trade_date,net_pnl,sentiment_value
2024-10-09,-227.020059,49.0
2024-10-10,-105.00851,39.0
2024-10-11,848.800788,32.0
2024-10-12,38872.22954565,49.0
2024-11-01,-239.95667199999997,75.0
2024-11-02,958.487884,72.0
2024-11-03,3579.7066050000003,74.0
2024-11-04,363.002835,70.0
2024-11-05,229.46761700000002,70.0
2024-11-06,4190.703598,70.0
2024-11-07,1817.351639,77.0
2024-11-08,806.845333,75.0
2024-11-09,0.0,75.0
2024-11-10,8714.211283,78.0
2024-11-11,6352.720446,76.0
2024-11-12,318638.04498694,80.0
2024-12-01,-1974.999751,81.0
2024-12-02,886.7698759999998,80.0
2024-12-03,3034.220047,76.0
2024-12-04,-690.206714,78.0
2024-12-05,-19.312829,84.0
2024-12-06,-21950.45291,72.0
2024-12-07,1380.9606250000002,75.0
2024-12-08,822.598605,79.0
2024-12-10,485.65502499999997,78.0
2024-12-11,3066.494541,74.0
2024-12-12,598452.82955649,83.0
2025-01-01,-9559.66972721,66.0
2025-01-02,32014.72763511,70.0
2025-01-03,10559.045422610001,74.0
2025-01-04,-2365.5982368200002,73.0
2025-01-05,51884.2156190342,72.0
2025-02-01,8540.37939377,68.0
2025-02-02,161670.63753379,60.0
2025-02-03,64982.62376599,44.0
2025-02-04,201031.5179001,72.0
2025-03-01,5817.48895619,20.0
2025-03-02,345879.76064494,26.0
2025-03-03,615372.46819058,33.0
2025-03-04,-3703.0801287000004,15.0
2025-04-01,2319.825997,34.0
2025-04-02,413023.10955606,44.0
2025-04-03,179855.23009972,25.0
2025-04-04,-26351.742359361,28.0
2025-05-01,3048.37775203,53.0
2025-05-02,55370.48594533,67.0
